Name,URL,Description,Process,Variety,all_combined,exlc_name_combined
Guatemala Xinabajul Herculano Perez,https://www.sweetmarias.com/guatemala-xinabajul-herculano-perez-6850.html,"City roasts make an elegant pour-over brew, with bright, fruited acidity, hints of nectarine, pluot, and muscat grape filtered through an array of unrefined sugar sweetness. One of our favorite Xinabajul coffees this year. City to Full City.",Wet Washed,"Caturra, Bourbon, Typica","Guatemala Xinabajul Herculano Perez, City roasts make an elegant pour-over brew, with bright, fruited acidity, hints of nectarine, pluot, and muscat grape filtered through an array of unrefined sugar sweetness. One of our favorite Xinabajul coffees this year. City to Full City., Wet Washed, Caturra, Bourbon, Typica","City roasts make an elegant pour-over brew, with bright, fruited acidity, hints of nectarine, pluot, and muscat grape filtered through an array of unrefined sugar sweetness. One of our favorite Xinabajul coffees this year. City to Full City., Wet Washed, Caturra, Bourbon, Typica"
Guatemala Xinabajul La Libertad,https://www.sweetmarias.com/guatemala-xinabajul-la-libertad-6852.html,"Caramel and maple, roasted almond, hints of lemon and orange peel, milky texture, and layers of bittersweet chocolate that are most dominant at Full City and beyond. City to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Typica, Modern Hybrids","Guatemala Xinabajul La Libertad, Caramel and maple, roasted almond, hints of lemon and orange peel, milky texture, and layers of bittersweet chocolate that are most dominant at Full City and beyond. City to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids","Caramel and maple, roasted almond, hints of lemon and orange peel, milky texture, and layers of bittersweet chocolate that are most dominant at Full City and beyond. City to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids"
Guatemala Xinabajul Mejor de Libertad,https://www.sweetmarias.com/guatemala-xinabajul-mejor-de-libertad-6551.html,"Rounded sweetness, apple acidity, ""dessert"" like notes of pecan pie, caramel flan and caramel-covered apple. Dark roasts have a dash of dried fruit and clenching bittersweetness. City to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Typica, Modern Hybrids","Guatemala Xinabajul Mejor de Libertad, Rounded sweetness, apple acidity, ""dessert"" like notes of pecan pie, caramel flan and caramel-covered apple. Dark roasts have a dash of dried fruit and clenching bittersweetness. City to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids","Rounded sweetness, apple acidity, ""dessert"" like notes of pecan pie, caramel flan and caramel-covered apple. Dark roasts have a dash of dried fruit and clenching bittersweetness. City to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids"
Guatemala Xinabajul Producers,https://www.sweetmarias.com/guatemala-xinabajul-producers-6507.html,"Moderate sweetness and acidity, turbinado, demerara, raisin, brisk black tea. Dark roasts show bittersweet cacao and molasses with a hint of berry. City to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Modern Hybrids","Guatemala Xinabajul Producers, Moderate sweetness and acidity, turbinado, demerara, raisin, brisk black tea. Dark roasts show bittersweet cacao and molasses with a hint of berry. City to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Modern Hybrids","Moderate sweetness and acidity, turbinado, demerara, raisin, brisk black tea. Dark roasts show bittersweet cacao and molasses with a hint of berry. City to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Modern Hybrids"
Guatemala Xinabajul Producers,https://www.sweetmarias.com/guatemala-xinabajul-producers-6856.html,"Moderate sweetness and acidity, minimally refined sugars, raisin, brisk acidity with lemon citric hint when roasted light, dark chocolate and burnt sugars when dark. City to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Typica, Modern Hybrids","Guatemala Xinabajul Producers, Moderate sweetness and acidity, minimally refined sugars, raisin, brisk acidity with lemon citric hint when roasted light, dark chocolate and burnt sugars when dark. City to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids","Moderate sweetness and acidity, minimally refined sugars, raisin, brisk acidity with lemon citric hint when roasted light, dark chocolate and burnt sugars when dark. City to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids"
Guatemala Xinabajul Productores de Peña,https://www.sweetmarias.com/guatemala-xinabajul-productores-de-pena-6562.html,"Caramel sweetness and dark chocolate flavor accents lead to notes of caramel flan and butterscotch custard, slight hints of currant and raisin and moderate acidic impression. City+ to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Typica, Modern Hybrids","Guatemala Xinabajul Productores de Peña, Caramel sweetness and dark chocolate flavor accents lead to notes of caramel flan and butterscotch custard, slight hints of currant and raisin and moderate acidic impression. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids","Caramel sweetness and dark chocolate flavor accents lead to notes of caramel flan and butterscotch custard, slight hints of currant and raisin and moderate acidic impression. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids"
Guatemala Xinabajul Punta del Cerro,https://www.sweetmarias.com/guatemala-xinabajul-punta-del-cerro-6853.html,"Caramel sweetness, notes of roasted almond, sweet kettle corn, bittersweet bass notes with roast development, marshmallow, chocolate-covered rice crispy treats. City+ to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon","Guatemala Xinabajul Punta del Cerro, Caramel sweetness, notes of roasted almond, sweet kettle corn, bittersweet bass notes with roast development, marshmallow, chocolate-covered rice crispy treats. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon","Caramel sweetness, notes of roasted almond, sweet kettle corn, bittersweet bass notes with roast development, marshmallow, chocolate-covered rice crispy treats. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon"
Guatemala Xinabajul San Pedro Necta,https://www.sweetmarias.com/guatemala-xinabajul-san-pedro-necta-6855.html,"Middle roasts showcase pungent burnt sugars and hefty chocolate roast flavors, accented by black tea, dried currant, and aromatics of cinnamon candy and malted grains. City+ to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Typica, Modern Hybrids","Guatemala Xinabajul San Pedro Necta, Middle roasts showcase pungent burnt sugars and hefty chocolate roast flavors, accented by black tea, dried currant, and aromatics of cinnamon candy and malted grains. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids","Middle roasts showcase pungent burnt sugars and hefty chocolate roast flavors, accented by black tea, dried currant, and aromatics of cinnamon candy and malted grains. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids"
Honduras El Sauce Finca El Plan,https://www.sweetmarias.com/honduras-el-sauce-finca-el-plan-6664.html,"Bittersweetness, mild acidity, big body, top notes hint at cream soda, caramel and creamy nut, whereas Full City roasts tip the scales in favor of dark chocolate. City+ to Full City+. Good for espresso.",Wet Washed,Bourbon,"Honduras El Sauce Finca El Plan, Bittersweetness, mild acidity, big body, top notes hint at cream soda, caramel and creamy nut, whereas Full City roasts tip the scales in favor of dark chocolate. City+ to Full City+. Good for espresso., Wet Washed, Bourbon","Bittersweetness, mild acidity, big body, top notes hint at cream soda, caramel and creamy nut, whereas Full City roasts tip the scales in favor of dark chocolate. City+ to Full City+. Good for espresso., Wet Washed, Bourbon"
Honduras La Peña Denilson Madrid,https://www.sweetmarias.com/honduras-la-pe-a-denilson-madrid-6665.html,"A well-balanced Central American coffee, with sweet notes of light brown sugar and sucanat, a hint of roasted almond, apple highlight, and malic acidic impression. City to Full City.",Wet Washed,"Bourbon, Modern Hybrids","Honduras La Peña Denilson Madrid, A well-balanced Central American coffee, with sweet notes of light brown sugar and sucanat, a hint of roasted almond, apple highlight, and malic acidic impression. City to Full City., Wet Washed, Bourbon, Modern Hybrids","A well-balanced Central American coffee, with sweet notes of light brown sugar and sucanat, a hint of roasted almond, apple highlight, and malic acidic impression. City to Full City., Wet Washed, Bourbon, Modern Hybrids"
Honduras Los Andes Doña Daisy,https://www.sweetmarias.com/honduras-los-andes-dona-daisy-6661.html,"City+ straddles the line between sweetness and roast bittering, cooling to cup flavors of molasses, brown sugar, an orange accent, and mild, lemon-like acidity. City to Full City+. Good for espresso.",Wet Washed,Bourbon,"Honduras Los Andes Doña Daisy, City+ straddles the line between sweetness and roast bittering, cooling to cup flavors of molasses, brown sugar, an orange accent, and mild, lemon-like acidity. City to Full City+. Good for espresso., Wet Washed, Bourbon","City+ straddles the line between sweetness and roast bittering, cooling to cup flavors of molasses, brown sugar, an orange accent, and mild, lemon-like acidity. City to Full City+. Good for espresso., Wet Washed, Bourbon"
Honduras San Vicente Feliciano Sabillon,https://www.sweetmarias.com/honduras-san-vicente-feliciano-sabillon-6667.html,"An all-around accessible, balanced coffee. Honeyed sweetness with notes of caramelized confections like butter brickle and toffee-coated peanut. City+ to Full City+",Wet Washed,Modern Hybrids,"Honduras San Vicente Feliciano Sabillon, An all-around accessible, balanced coffee. Honeyed sweetness with notes of caramelized confections like butter brickle and toffee-coated peanut. City+ to Full City+, Wet Washed, Modern Hybrids","An all-around accessible, balanced coffee. Honeyed sweetness with notes of caramelized confections like butter brickle and toffee-coated peanut. City+ to Full City+, Wet Washed, Modern Hybrids"
Honduras Santa Barbara Jose Esteban,https://www.sweetmarias.com/honduras-santa-barbara-jose-esteban-6666.html,"The middle roast range brings out sweetness, balance and body, producing an all-around accessible cup of coffee. Notes of toffee, Brazil nut, pecan, chocolate. City+ to Full City+. ",Wet Washed,"Bourbon, Modern Hybrids","Honduras Santa Barbara Jose Esteban, The middle roast range brings out sweetness, balance and body, producing an all-around accessible cup of coffee. Notes of toffee, Brazil nut, pecan, chocolate. City+ to Full City+. , Wet Washed, Bourbon, Modern Hybrids","The middle roast range brings out sweetness, balance and body, producing an all-around accessible cup of coffee. Notes of toffee, Brazil nut, pecan, chocolate. City+ to Full City+. , Wet Washed, Bourbon, Modern Hybrids"
Mexico Cerro Brujo Don Sergio,https://www.sweetmarias.com/mexico-cerro-brujo-don-sergio-6867.html,"Middle roasts find the best balance of flavors, brown sugar sweetness, pleasing roast tones, semi-sweet chocolate, moderate brightness, with accents of caramel cookie and coffee ""Nips"" candies. City+ to Full City+. Good for espresso.",Wet Washed,"Caturra, Typica, Modern Hybrids","Mexico Cerro Brujo Don Sergio, Middle roasts find the best balance of flavors, brown sugar sweetness, pleasing roast tones, semi-sweet chocolate, moderate brightness, with accents of caramel cookie and coffee ""Nips"" candies. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Typica, Modern Hybrids","Middle roasts find the best balance of flavors, brown sugar sweetness, pleasing roast tones, semi-sweet chocolate, moderate brightness, with accents of caramel cookie and coffee ""Nips"" candies. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Typica, Modern Hybrids"
Mexico Chiapas Agricultores de Paraíso,https://www.sweetmarias.com/mexico-chiapas-agricultores-de-paraiso-6677.html,"Cooked sugar to caramel, an appealing buttery note in the nose, and chocolatey low tones inform a bittering, high % cacao bar flavor in the finish. City+ to Full City+.",Wet Washed,"Caturra, Bourbon, Typica, Modern Hybrids","Mexico Chiapas Agricultores de Paraíso, Cooked sugar to caramel, an appealing buttery note in the nose, and chocolatey low tones inform a bittering, high % cacao bar flavor in the finish. City+ to Full City+., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids","Cooked sugar to caramel, an appealing buttery note in the nose, and chocolatey low tones inform a bittering, high % cacao bar flavor in the finish. City+ to Full City+., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids"
Mexico Chiapas Cerro Brujo Don Sergio,https://www.sweetmarias.com/mexico-chiapas-cerro-brujo-don-sergio-6676.html,"A 'complete' cup with regard to developed sweetness and subtle top notes, brown sugar flavors, molasses aroma, subtle hint of orange and dried fruit that don't detract from core sweetness. City+ to Full City. *only offered in 1 lb bags",Wet Washed,,"Mexico Chiapas Cerro Brujo Don Sergio, A 'complete' cup with regard to developed sweetness and subtle top notes, brown sugar flavors, molasses aroma, subtle hint of orange and dried fruit that don't detract from core sweetness. City+ to Full City. *only offered in 1 lb bags, Wet Washed, ","A 'complete' cup with regard to developed sweetness and subtle top notes, brown sugar flavors, molasses aroma, subtle hint of orange and dried fruit that don't detract from core sweetness. City+ to Full City. *only offered in 1 lb bags, Wet Washed, "
Mexico Chiapas Teopisca,https://www.sweetmarias.com/mexico-chiapas-teopisca-6844.html,"A solid Chiapas cup, crowd pleasing bittersweetness and body, flavor notes of candied nut, almond biscotti, pistachio, with deeper chocolate flavors at darker roast levels. City+ to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Typica, Modern Hybrids","Mexico Chiapas Teopisca, A solid Chiapas cup, crowd pleasing bittersweetness and body, flavor notes of candied nut, almond biscotti, pistachio, with deeper chocolate flavors at darker roast levels. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids","A solid Chiapas cup, crowd pleasing bittersweetness and body, flavor notes of candied nut, almond biscotti, pistachio, with deeper chocolate flavors at darker roast levels. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids"
Mexico FTO Comunidad Tierra Blanca,https://www.sweetmarias.com/mexico-fto-communidad-tierra-blanca-6843.html,"Syrupy base sweetness, fruit and nut hints, torrone nougat made with honey and toasted almonds, vanilla, baked apple, and malic type acidic impression. City to Full City.",Wet Washed,"Bourbon, Typica, Modern Hybrids","Mexico FTO Comunidad Tierra Blanca, Syrupy base sweetness, fruit and nut hints, torrone nougat made with honey and toasted almonds, vanilla, baked apple, and malic type acidic impression. City to Full City., Wet Washed, Bourbon, Typica, Modern Hybrids","Syrupy base sweetness, fruit and nut hints, torrone nougat made with honey and toasted almonds, vanilla, baked apple, and malic type acidic impression. City to Full City., Wet Washed, Bourbon, Typica, Modern Hybrids"
Mexico FTO Ozolotopec Finca Yacal,https://www.sweetmarias.com/mexico-fto-ozolotopec-finca-yacal-6841.html,"Impressive in the middle/dark roasts, compelling bittersweetness, high % dark chocolate bar, chocolate ganache, background hints of pear and apple, moderate acidity. City+ to Full City+. Good for espresso.",Wet Washed,"Bourbon, Typica, Modern Hybrids","Mexico FTO Ozolotopec Finca Yacal, Impressive in the middle/dark roasts, compelling bittersweetness, high % dark chocolate bar, chocolate ganache, background hints of pear and apple, moderate acidity. City+ to Full City+. Good for espresso., Wet Washed, Bourbon, Typica, Modern Hybrids","Impressive in the middle/dark roasts, compelling bittersweetness, high % dark chocolate bar, chocolate ganache, background hints of pear and apple, moderate acidity. City+ to Full City+. Good for espresso., Wet Washed, Bourbon, Typica, Modern Hybrids"
Mexico Las Pitas Catamarago Cultivar,https://www.sweetmarias.com/mexico-las-pitas-catamarago-cultivar-6996.html,"Sweetness has depth of flavor, notes of light brown sugar, crème caramel, brûléed sugar, pecan pie filling, and a hint of cinnamon spice in the aroma brings out an aspect of 'biscochito' cookies. City to City+.",Wet Washed,Modern Hybrids,"Mexico Las Pitas Catamarago Cultivar, Sweetness has depth of flavor, notes of light brown sugar, crème caramel, brûléed sugar, pecan pie filling, and a hint of cinnamon spice in the aroma brings out an aspect of 'biscochito' cookies. City to City+., Wet Washed, Modern Hybrids","Sweetness has depth of flavor, notes of light brown sugar, crème caramel, brûléed sugar, pecan pie filling, and a hint of cinnamon spice in the aroma brings out an aspect of 'biscochito' cookies. City to City+., Wet Washed, Modern Hybrids"
Mexico Organic Chiapas Sierra Mariscal,https://www.sweetmarias.com/mexico-organic-chiapas-sierra-mariscal-6675.html,"Crowd-pleasing cup profile that's restrained in a way. Aromatic molasses, pungent cacao, tamari-like savory/sweet hint and balanced roast flavors. City+ to Full City+. Good for espresso.",Wet Washed,,"Mexico Organic Chiapas Sierra Mariscal, Crowd-pleasing cup profile that's restrained in a way. Aromatic molasses, pungent cacao, tamari-like savory/sweet hint and balanced roast flavors. City+ to Full City+. Good for espresso., Wet Washed, ","Crowd-pleasing cup profile that's restrained in a way. Aromatic molasses, pungent cacao, tamari-like savory/sweet hint and balanced roast flavors. City+ to Full City+. Good for espresso., Wet Washed, "
Mexico Organic Lagunilla Coop,https://www.sweetmarias.com/mexico-organic-lagunilla-coop-6875.html,"Versatile, flavors of brown sugar and caramel, roasted nut, chocolate bittersweets, with accents of dried apple and raisin. Everything we look for in a crowd pleasing coffee, and then some! City+ to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Typica","Mexico Organic Lagunilla Coop, Versatile, flavors of brown sugar and caramel, roasted nut, chocolate bittersweets, with accents of dried apple and raisin. Everything we look for in a crowd pleasing coffee, and then some! City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica","Versatile, flavors of brown sugar and caramel, roasted nut, chocolate bittersweets, with accents of dried apple and raisin. Everything we look for in a crowd pleasing coffee, and then some! City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica"
Nicaragua Buenos Aires Los Pinos,https://www.sweetmarias.com/nicaragua-buenos-aires-los-pinos-6534.html,"A crowd pleasing cup: big body, mild acidity, and lasting bittersweetness. Full City finds a nice interplay between layered sugars, creamy nut notes and bittersweet roast tones. City+ to Full City+. Good for espresso and blending.",Wet Washed,Caturra,"Nicaragua Buenos Aires Los Pinos, A crowd pleasing cup: big body, mild acidity, and lasting bittersweetness. Full City finds a nice interplay between layered sugars, creamy nut notes and bittersweet roast tones. City+ to Full City+. Good for espresso and blending., Wet Washed, Caturra","A crowd pleasing cup: big body, mild acidity, and lasting bittersweetness. Full City finds a nice interplay between layered sugars, creamy nut notes and bittersweet roast tones. City+ to Full City+. Good for espresso and blending., Wet Washed, Caturra"
Nicaragua Buenos Aires Los Pinos,https://www.sweetmarias.com/nicaragua-buenos-aires-los-pinos-6899.html,"A crowd pleasing cup that finds a nice interplay between layers of unrefined sugars, chocolate bittersweets, creamy pecan and hazelnut, and mild to moderate level of acidity. City+ to Full City+. Good for espresso.",Wet Washed,Caturra,"Nicaragua Buenos Aires Los Pinos, A crowd pleasing cup that finds a nice interplay between layers of unrefined sugars, chocolate bittersweets, creamy pecan and hazelnut, and mild to moderate level of acidity. City+ to Full City+. Good for espresso., Wet Washed, Caturra","A crowd pleasing cup that finds a nice interplay between layers of unrefined sugars, chocolate bittersweets, creamy pecan and hazelnut, and mild to moderate level of acidity. City+ to Full City+. Good for espresso., Wet Washed, Caturra"
Nicaragua Buenos Aires San Salvador,https://www.sweetmarias.com/nicaragua-buenos-aires-san-salvador-6539.html,"Well-developed sweetness balances bittering baker's cocoa, with notes of barley malt, pumpernickel, Nutella spread and a licorice root finishing accent. City+ to Full City+. Good for espresso.",Wet Washed,Caturra,"Nicaragua Buenos Aires San Salvador, Well-developed sweetness balances bittering baker's cocoa, with notes of barley malt, pumpernickel, Nutella spread and a licorice root finishing accent. City+ to Full City+. Good for espresso., Wet Washed, Caturra","Well-developed sweetness balances bittering baker's cocoa, with notes of barley malt, pumpernickel, Nutella spread and a licorice root finishing accent. City+ to Full City+. Good for espresso., Wet Washed, Caturra"
Nicaragua Dipilto Finca La Laguna,https://www.sweetmarias.com/nicaragua-dipilto-finca-la-laguna-6538.html,"City+ roasts produce brown sugar and bittersweet cocoa,  a mild acidic impression, Brazil nut and walnut finishing notes. Chocolate roast tones are easily developed with dark roasting. City+ to Full City+. Good for espresso.",Wet Washed,Caturra,"Nicaragua Dipilto Finca La Laguna, City+ roasts produce brown sugar and bittersweet cocoa,  a mild acidic impression, Brazil nut and walnut finishing notes. Chocolate roast tones are easily developed with dark roasting. City+ to Full City+. Good for espresso., Wet Washed, Caturra","City+ roasts produce brown sugar and bittersweet cocoa,  a mild acidic impression, Brazil nut and walnut finishing notes. Chocolate roast tones are easily developed with dark roasting. City+ to Full City+. Good for espresso., Wet Washed, Caturra"
Nicaragua Dipilto Monte Libano,https://www.sweetmarias.com/nicaragua-dipilto-monte-libano-6536.html,"A walnut note is enveloped by core flavors of brown sugar and bittersweet chocolate. Big body, the potential for heavy chocolate roast flavors, and mild mannered acidity. City+ to Full City+. Good for espresso.",Wet Washed,Caturra,"Nicaragua Dipilto Monte Libano, A walnut note is enveloped by core flavors of brown sugar and bittersweet chocolate. Big body, the potential for heavy chocolate roast flavors, and mild mannered acidity. City+ to Full City+. Good for espresso., Wet Washed, Caturra","A walnut note is enveloped by core flavors of brown sugar and bittersweet chocolate. Big body, the potential for heavy chocolate roast flavors, and mild mannered acidity. City+ to Full City+. Good for espresso., Wet Washed, Caturra"
Nicaragua Dry Process Buenos Aires Maracaturra,https://www.sweetmarias.com/nicaragua-dry-process-buenos-aires-maracaturra-6911.html,"Moderate fruit flavors and dry process characteristics, concentrated in a way, like fruit syrups, stewed cherry, raspberry lambic beer, with the soft cocoa and nut tones associated with Central American coffee. City to City+.",Dry Natural,Modern Hybrids,"Nicaragua Dry Process Buenos Aires Maracaturra, Moderate fruit flavors and dry process characteristics, concentrated in a way, like fruit syrups, stewed cherry, raspberry lambic beer, with the soft cocoa and nut tones associated with Central American coffee. City to City+., Dry Natural, Modern Hybrids","Moderate fruit flavors and dry process characteristics, concentrated in a way, like fruit syrups, stewed cherry, raspberry lambic beer, with the soft cocoa and nut tones associated with Central American coffee. City to City+., Dry Natural, Modern Hybrids"
Nicaragua Finca Buenos Aires,https://www.sweetmarias.com/nicaragua-finca-buenos-aires-6906.html,"A crowd pleasing cup with subtle nuance, brown sugar, vanilla bean, chocolate wafer cookie, dried apple, black tea, and sweetly-disappearing aftertaste. City+ to Full City+. Good for espresso.",Wet Washed,Caturra,"Nicaragua Finca Buenos Aires, A crowd pleasing cup with subtle nuance, brown sugar, vanilla bean, chocolate wafer cookie, dried apple, black tea, and sweetly-disappearing aftertaste. City+ to Full City+. Good for espresso., Wet Washed, Caturra","A crowd pleasing cup with subtle nuance, brown sugar, vanilla bean, chocolate wafer cookie, dried apple, black tea, and sweetly-disappearing aftertaste. City+ to Full City+. Good for espresso., Wet Washed, Caturra"
Nicaragua Finca Buenos Aires Lot 1,https://www.sweetmarias.com/nicaragua-finca-buenos-aires-lot-1-6540.html,"Crowd pleasing and balanced bittersweetness, brown sugar, vanilla bean, chocolate wafer, dried apple and a sweetly-disappearing aftertaste. City+ to Full City+. Good for espresso.",Machine Washed,Caturra,"Nicaragua Finca Buenos Aires Lot 1, Crowd pleasing and balanced bittersweetness, brown sugar, vanilla bean, chocolate wafer, dried apple and a sweetly-disappearing aftertaste. City+ to Full City+. Good for espresso., Machine Washed, Caturra","Crowd pleasing and balanced bittersweetness, brown sugar, vanilla bean, chocolate wafer, dried apple and a sweetly-disappearing aftertaste. City+ to Full City+. Good for espresso., Machine Washed, Caturra"
Nicaragua Granjeros De Las Brumas,https://www.sweetmarias.com/nicaragua-granjeros-de-las-brumas-6696.html,"A versatile coffee that excels at medium and dark roast levels, chocolate bittering, burned sugar, almond-like nut notes and a heavy, lactic mouthfeel. City+ to Full City+. Good for espresso.",Wet Washed,"Caturra, Bourbon, Typica, Modern Hybrids","Nicaragua Granjeros De Las Brumas, A versatile coffee that excels at medium and dark roast levels, chocolate bittering, burned sugar, almond-like nut notes and a heavy, lactic mouthfeel. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids","A versatile coffee that excels at medium and dark roast levels, chocolate bittering, burned sugar, almond-like nut notes and a heavy, lactic mouthfeel. City+ to Full City+. Good for espresso., Wet Washed, Caturra, Bourbon, Typica, Modern Hybrids"
Nicaragua San Salvador Java Cultivar,https://www.sweetmarias.com/nicaragua-san-salvador-java-cultivar-6907.html,"Keep to the light end of the roast spectrum for a delightful bouquet of flavor notes, elegant aromatics, lemon cookie, caramel, floral accent, lemon-lime, and zesty acidity. City to City+ max.",Wet Washed,Heirloom,"Nicaragua San Salvador Java Cultivar, Keep to the light end of the roast spectrum for a delightful bouquet of flavor notes, elegant aromatics, lemon cookie, caramel, floral accent, lemon-lime, and zesty acidity. City to City+ max., Wet Washed, Heirloom","Keep to the light end of the roast spectrum for a delightful bouquet of flavor notes, elegant aromatics, lemon cookie, caramel, floral accent, lemon-lime, and zesty acidity. City to City+ max., Wet Washed, Heirloom"
Panama Anaerobic Fermentation Volcán Barú,https://www.sweetmarias.com/panama-anaerobic-fermentation%20volcan-baru-6568.html,"Full City roasts manage to pull out an impressive level of toffee sweetness, dried green apple and walnut top notes, fruited acidity and bittersweet finish. City+ to Full City+. Good for espresso.",,"Caturra, Typica","Panama Anaerobic Fermentation Volcán Barú, Full City roasts manage to pull out an impressive level of toffee sweetness, dried green apple and walnut top notes, fruited acidity and bittersweet finish. City+ to Full City+. Good for espresso., , Caturra, Typica","Full City roasts manage to pull out an impressive level of toffee sweetness, dried green apple and walnut top notes, fruited acidity and bittersweet finish. City+ to Full City+. Good for espresso., , Caturra, Typica"
Panama Dry Process Peterson Family Gesha,https://www.sweetmarias.com/panama-dry-process-peterson-family-gesha-6673.html,"Pour-over brews hint at peach, apricot, dried mango, red apple and strawberry Starburst. Perfumed, floral aromatics are moderate and suggest jasmine and Stargazer lily. City to City+.",Dry Natural,Gesha,"Panama Dry Process Peterson Family Gesha, Pour-over brews hint at peach, apricot, dried mango, red apple and strawberry Starburst. Perfumed, floral aromatics are moderate and suggest jasmine and Stargazer lily. City to City+., Dry Natural, Gesha","Pour-over brews hint at peach, apricot, dried mango, red apple and strawberry Starburst. Perfumed, floral aromatics are moderate and suggest jasmine and Stargazer lily. City to City+., Dry Natural, Gesha"
Panama La Esmeralda Gesha 1500,https://www.sweetmarias.com/panama-la-esmeralda-gesha-1500-6672.html,"A show stopper when roasted light, floral peach and jasmine aroma, a tightly-knit profile of brown sugar with top notes of orange marmalade, honey tangerine and apricot juice. City to City+.",Wet Washed,Gesha,"Panama La Esmeralda Gesha 1500, A show stopper when roasted light, floral peach and jasmine aroma, a tightly-knit profile of brown sugar with top notes of orange marmalade, honey tangerine and apricot juice. City to City+., Wet Washed, Gesha","A show stopper when roasted light, floral peach and jasmine aroma, a tightly-knit profile of brown sugar with top notes of orange marmalade, honey tangerine and apricot juice. City to City+., Wet Washed, Gesha"
Panama Volcan Baru Bambito Estate,https://www.sweetmarias.com/panama-volcan-baru-bambito-estate-6893.html,"Bambito is sweet at a wide range of roasts, brown sugar and honey, marshmallow hint, walnut, apple, mouth refreshing acidity, and a sturdy bittersweet core. City to Full City+. Good for espresso.",Wet Washed,"Caturra, Modern Hybrids","Panama Volcan Baru Bambito Estate, Bambito is sweet at a wide range of roasts, brown sugar and honey, marshmallow hint, walnut, apple, mouth refreshing acidity, and a sturdy bittersweet core. City to Full City+. Good for espresso., Wet Washed, Caturra, Modern Hybrids","Bambito is sweet at a wide range of roasts, brown sugar and honey, marshmallow hint, walnut, apple, mouth refreshing acidity, and a sturdy bittersweet core. City to Full City+. Good for espresso., Wet Washed, Caturra, Modern Hybrids"
Brazil Café Condado SWP Decaf,https://www.sweetmarias.com/brazil-cafe-condado-swp-decaf-6810.html,"Bold bittersweetness in the middle roasts, flavor notes consolidate to almond rolled in dark baking cocoa, cools to a light touch of cinnamon and smoked paprika. City+ to Full City+. Good for espresso.",Water Decaffeinated,Bourbon,"Brazil Café Condado SWP Decaf, Bold bittersweetness in the middle roasts, flavor notes consolidate to almond rolled in dark baking cocoa, cools to a light touch of cinnamon and smoked paprika. City+ to Full City+. Good for espresso., Water Decaffeinated, Bourbon","Bold bittersweetness in the middle roasts, flavor notes consolidate to almond rolled in dark baking cocoa, cools to a light touch of cinnamon and smoked paprika. City+ to Full City+. Good for espresso., Water Decaffeinated, Bourbon"
Brazil Carmo de Minas SWP Decaf,https://www.sweetmarias.com/brazil-carmo-de-minas-swp-decaf-6545.html,"Chocolate wafer, hazelnut, honey-wheat bread, an undeniably sweet and big bodied decaf coffee. City to Full City. Good for espresso.",,Bourbon,"Brazil Carmo de Minas SWP Decaf, Chocolate wafer, hazelnut, honey-wheat bread, an undeniably sweet and big bodied decaf coffee. City to Full City. Good for espresso., , Bourbon","Chocolate wafer, hazelnut, honey-wheat bread, an undeniably sweet and big bodied decaf coffee. City to Full City. Good for espresso., , Bourbon"
